Subdivision,Year,Total victims
Texas,2019,48
California,2019,15
Florida,2019,5
California,2018,34
California,2018,5
Texas,2018,23
California,2018,3
Florida,2018,34
California,2017,15
Texas,2017,46
Colorado,2017,3
Nevada,2017,604
California,2017,5
Florida,2017,5
California,2017,3
Florida,2017,11
Texas,2016,16
Florida,2016,102
California,2015,35
Colorado,2015,12
Colorado,2015,3
California,2014,19
Texas,2014,15
California,2014,6
Florida,2013,7
California,2013,9
Colorado,2012,82
California,2012,10
California,2011,9
Nevada,2011,12
Texas,2009,43
California,2006,8
Florida,1999,8
Texas,1999,15
Colorado,1999,37
California,1997,7
Florida,1996,7
Texas,1995,6
Colorado,1993,5
California,1993,15
California,1992,14
Texas,1991,44
Florida,1990,14
California,1989,35
California,1988,11
Florida,1987,20
California,1984,41
Texas,1984,7
Florida,1982,11
